info: MF21/QuantizationTaylor.lean:159:0: 'MF21Quantization.Model.fixed_index_low_order_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/SpectralSimplicity.lean:92:0: 'MF21Audit.diagonalization_unique_index' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/SpectralSimplicity.lean:93:0: 'MF21Challenge.unique_index_of_complex_eigenspace_finrank_one' depends on axioms: [propext,
info: MF21/SpectralSimplicity.lean:94:0: 'MF21Challenge.unique_eigenangle_index_of_complex_eigenspace_finrank_one' depends on axioms: [propext,
info: MF21/TopDownIndexing.lean:69:0: 'MF21Phase.monotone_tail_matching' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkLeadingPhase.lean:378:0: 'MF21Bulk.phaseProduct_polar' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkLeadingPhase.lean:379:0: 'MF21Bulk.pairCoefficient_factor' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkLeadingPhase.lean:380:0: 'MF21Bulk.pairCoefficient_swap_relation' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkLeadingPhase.lean:381:0: 'MF21Bulk.conjugate_factor_product' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkLeadingPhase.lean:382:0: 'MF21Bulk.actual_pairCoefficient_swap_phase' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkLeadingPhase.lean:383:0: 'MF21Bulk.normalized_boundary_real' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkLeadingPhase.lean:384:0: 'MF21Bulk.actual_leading_pair_sine' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BulkLeadingPhase.lean:385:0: 'MF21Bulk.rootLeadingAmplitude_conj' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/PerturbedPhase.lean:186:0: 'MF21Phase.phase_cell_unique_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/PerturbedPhase.lean:187:0: 'MF21Phase.phase_residual_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/PerturbedPhase.lean:188:0: 'MF21Phase.inverse_phase_displacement' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/PerturbedPhase.lean:189:0: 'MF21Phase.final_cell_no_root' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/PerturbedPhase.lean:190:0: 'MF21Phase.root_phase_index_range' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryBlockForm.lean:77:0: 'MF21Boundary.boundary_det_block_form' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryBlockForm.lean:78:0: 'MF21ActualBoundary.determinant_rescale' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ActualBoundaryError.lean:123:0: 'MF21ActualBoundary.normalizedRemainder_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ActualBoundaryError.lean:124:0: 'MF21ActualBoundary.slopeData_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/SymbolTransfer.lean:147:0: 'MF21Expansion.model_grid_angle_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/SymbolTransfer.lean:148:0: 'MF21Expansion.symbol_power_lipschitz' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/SymbolTransfer.lean:150:0: 'MF21Expansion.tailSymbol_of_tailAngle' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ActualBoundarySimplicity.lean:74:0: 'MF21ActualBoundary.boundaryMatrix_differentiable' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ActualBoundarySimplicity.lean:75:0: 'MF21ActualBoundary.unique_eigenangle_index_of_simple_normalized_zero' depends on axioms: [propext,
info: MF21/BoundaryReality.lean:47:0: 'MF21Normalization.blockPower_conj_det_of_duplicate' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryReality.lean:134:0: 'MF21ActualBoundary.determinant_conj' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/BoundaryReality.lean:136:0: 'MF21ActualBoundary.determinant_pi' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/PhaseCellRoot.lean:131:0: 'MF21Phase.phase_cell_endpoints' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/PhaseCellRoot.lean:132:0: 'MF21Phase.phase_tail_cell_root' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ActualBoundaryExpansion.lean:80:0: 'MF21ActualBoundary.determinant_two_leading_terms' depends on axioms: [propext, Classical.choice, Quot.sound]
info: MF21/ActualBoundaryExpansion.lean:81:0: 'MF21ActualBoundary.leading_coefficient_rescale' depends on axioms: [propext, Classical.choice, Quot.sound]
